Metric,Baseline CNN,Improved CNN
Accuracy,0.7888888888888889,0.41388888888888886
Precision,0.8178880895328848,0.7235172235172235
Recall,0.7888888888888889,0.41388888888888886
F1-Score,0.7897582114154306,0.3297178841095038
