Metric,Baseline CNN,Final CNN
Accuracy,0.7888888889,0.6833333333333333
Precision,0.8178880895,0.773752105206579
Recall,0.7888888889,0.6833333333333333
F1-Score,0.7897582114,0.6649897046464518
